code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021
MAR,0.8481,0.8451,0.8437,0.8558,0.8607,0.8653,0.8744,0.9002,0.9194,0.914,0.925,0.92,0.942,0.956,0.956
AFG,,,,,,,,,,,,,,,0.514
AGO,0.7792,0.7792,0.7779,0.7779,0.7854,0.7864,,0.8062,0.7211,0.726,0.778,0.763,0.745,0.759,0.759
ALB,0.9888,0.9925,0.9907,0.9906,0.9942,0.9809,0.989,0.9755,0.97,0.972,0.986,0.986,0.987,0.999,0.999
ARE,0.9861,0.9868,0.9955,0.9918,0.9977,0.9914,1,1,0.9875,0.987,1,0.994,0.979,0.987,0.987
ARG,0.9965,0.996,0.9941,0.9941,0.9953,0.9941,0.9962,0.9962,0.9962,0.996,0.995,0.998,0.995,0.995,1
ARM,,0.999,0.9993,0.9992,0.9994,0.9994,0.9995,0.9995,0.9996,1,1,0.999,1,0.998,0.998
AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,0.9802,0.9802,0.9886,0.9886,0.9886,0.9886,0.9946,1,1,1,0.987,0.988,1,1,1
AZE,,0.9715,0.9673,0.9699,0.9671,0.9891,0.983,0.982,0.984,0.984,0.988,0.984,1,0.996,0.996
BDI,,,,,,0.8565,0.8644,0.8895,0.9013,0.857,0.917,0.876,0.89,0.896,0.896
BEL,1,1,0.991,0.991,0.9909,0.9909,0.9918,0.9918,0.9921,1,1,1,1,1,1
BEN,0.6435,0.6579,0.6329,0.6273,0.6457,0.6558,0.6446,0.5127,,0.7,0.712,0.714,0.729,0.733,0.733
BFA,0.6456,0.6798,0.7068,0.726,0.7485,0.7563,0.7864,0.7987,0.7988,0.831,0.809,0.829,0.853,0.873,0.873
BGD,0.8681,0.8714,0.9093,0.9113,0.9139,0.9168,0.8575,0.8846,0.9402,0.948,0.95,0.954,0.95,0.951,0.951
BGR,0.9889,0.9889,0.9901,0.9921,0.9925,0.9923,0.9924,0.9924,0.9934,0.992,0.993,0.99,0.989,0.989,0.991
BHR,0.9893,0.9893,0.9917,0.9911,0.9915,0.9862,0.9947,0.9911,0.9855,0.981,0.987,0.991,0.998,0.985,0.985
BHS,,,,1,1,1,1,1,1,1,1,1,1,1,1
BIH,,,,,,,,,,,0.996,0.981,0.981,0.967,0.967
BLR,,0.9835,0.9902,0.9901,,,,,0.9995,1,1,0.999,0.998,0.999,0.999
BLZ,,1,1,0.9985,0.9987,1,0.955,0.9445,1,0.994,0.99,0.988,0.99,0.991,0.991
BOL,0.917,0.968,0.9713,0.9746,0.9592,0.9646,0.9629,0.9623,0.9697,0.967,0.97,0.956,0.976,0.98,0.981
BRA,0.9724,0.9686,1,0.9991,0.9904,0.9904,1,1,1,1,0.998,1,1,1,1
BRB,,,0.9957,1,1,1,1,1,0.9976,0.998,1,1,1,0.991,0.991
BRN,,,0.9934,0.9923,0.9931,0.9938,0.9937,0.9889,0.9858,0.993,0.992,0.99,0.99,0.992,0.992
BTN,,,,,,,,0.8843,0.886,0.921,0.925,0.916,0.917,0.954,0.954
BWA,0.9814,0.9979,0.9999,0.9999,1,1,1,1,1,1,1,1,1,1,1
CAN,0.9987,0.9987,0.9977,0.9977,0.9977,0.9989,0.9909,1,1,1,1,1,1,1,1
CHE,0.9569,0.9569,0.9751,0.9792,0.9889,0.9899,0.9909,0.9919,0.9922,0.993,0.993,0.993,0.991,0.992,0.992
CHL,0.9799,0.9799,0.9856,0.9961,0.9963,0.9957,0.9986,0.9993,0.9997,1,0.999,0.999,0.999,1,1
CHN,0.9574,0.9574,0.9778,0.9797,0.981,0.9815,,0.988,0.9855,0.988,0.967,0.963,0.958,0.973,0.973
CIV,,,,,0.6923,0.7073,0.7095,0.7141,0.7217,0.773,0.764,0.8,0.815,0.828,0.828
CMR,0.824,0.8264,0.8343,0.8421,0.8585,0.8597,0.7816,0.847,,0.857,0.862,0.868,0.876,0.885,0.885
COD,,,,,,,,,,,,,0.674,0.658,0.658
COL,0.9996,0.9996,0.9987,0.9996,0.9956,0.9955,0.9944,0.9954,0.9961,0.994,0.999,1,1,1,1
CPV,,,,,,,0.9681,0.9663,0.9648,0.97,0.984,0.98,0.971,0.972,0.972
CRI,0.9954,0.9954,0.9954,0.9954,0.9954,1,1,1,1,1,1,0.999,1,1,1
CUB,,0.9903,1,1,1,1,0.9995,0.9995,1,1,1,1,0.999,0.998,0.998
CYP,0.9893,0.9893,0.9954,0.9933,0.9879,0.9776,0.978,0.9853,0.9978,0.998,0.998,0.998,0.998,0.998,0.998
CZE,0.9908,0.9908,1,1,1,1,1,1,1,1,1,1,1,1,1
DEU,0.9954,0.9954,0.9954,0.9953,0.9945,0.9942,0.9848,0.9818,0.9995,0.987,0.966,0.97,0.976,0.972,0.997
DNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DOM,1,1,1,1,1,1,0.9688,0.9822,0.9842,0.984,0.989,0.991,0.997,0.998,1
DZA,0.9438,0.9422,0.9491,0.9505,0.953,0.9502,0.9499,0.9387,0.9363,0.946,0.962,0.957,0.957,0.966,0.966
ECU,0.9939,0.9939,0.9953,0.9955,0.9879,0.9877,0.9942,0.9942,0.9956,0.996,0.996,0.996,0.996,0.997,0.997
EGY,0.903,0.9091,0.9018,0.9004,0.8987,0.9081,0.9248,0.9199,0.9467,0.935,0.952,0.96,0.975,0.973,0.973
ESP,0.9941,0.9943,0.9938,0.9945,0.9964,0.997,0.9971,0.9971,0.9973,0.998,0.998,0.998,0.998,0.998,0.998
EST,0.9992,0.9992,0.9954,0.9979,0.9967,0.9967,0.9936,0.9931,1,0.999,0.995,1,1,1,1
ETH,0.7392,0.7403,0.7001,0.7001,0.7003,0.7043,0.7386,0.7451,0.7113,0.741,0.84,0.819,0.819,0.85,0.85
