code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021
MAR,0.053,0.053,0.0952,0.0952,0.0671,0.0672,0.072,0.072,0.1096,0.11,0.11,0.117,0.117,0.095,0.126
AFG,,,,,,,,,,,,,,,0.132
AGO,0.0696,0.0696,0.0711,0.2007,0.2901,0.2898,,0.2614,0.2402,0.251,0.251,0.262,0.206,0.262,0.245
ALB,0.0375,0.0375,0.0413,0.0413,0.0785,0.0784,0.0753,0.0256,0.1834,0.214,0.214,0.284,0.284,0.376,0.377
ARE,0.0147,0.1046,0.1114,0.1114,0.1394,0.1394,0.1206,0.1206,0.1106,0.115,0.139,0.18,0.18,0.191,0.403
ARG,0.2044,0.2044,0.3027,0.3077,0.2976,0.3084,0.3018,0.3136,0.3197,0.347,0.35,0.356,0.356,0.387,0.39
ARM,,0.0173,0.0468,0.0439,0.0621,0.0623,0.0662,0.0662,0.068,0.068,0.068,0.099,0.099,0.118,0.091
AUS,0.1634,0.1634,0.1915,0.1915,0.1917,0.1861,0.1847,0.1945,0.1887,0.193,0.193,0.232,0.232,0.231,0.258
AUT,0.2821,0.2821,0.3057,0.2744,0.2742,0.2744,0.3318,0.3318,0.2573,0.246,0.246,0.216,0.242,0.344,0.473
AZE,,0.0831,0.0575,0.0575,0.0473,0.0665,0.0663,0.0663,0.0642,0.063,0.069,0.063,0.063,0.063,0.069
BDI,,,,,,0.2477,0.2702,0.2702,0.2822,0.314,0.314,0.255,0.255,0.269,0.345
BEL,0.2319,0.2319,0.2431,0.2431,0.3244,0.3241,0.3664,0.3664,0.3948,0.275,0.275,0.264,0.264,0.313,0.48
BEN,0.082,0.0864,0.1081,0.1081,0.0757,0.0664,0.1383,0.1383,,0.067,0.067,0.065,0.065,0.079,0.093
BFA,0.084,0.084,0.0971,0.0971,0.1098,0.1097,0.0897,0.0914,0.1117,0.083,0.068,0.075,0.075,0.089,0.066
BGD,0.2673,0.2673,0.3098,0.2939,0.3378,0.3591,0.3804,0.4036,0.4055,0.433,0.462,0.493,0.526,0.545,0.546
BGR,0.1666,0.1666,0.1641,0.1641,0.1372,0.1367,0.1409,0.1606,0.2764,0.215,0.215,0.346,0.346,0.225,0.275
BHR,0.0236,0.0315,0.0192,0.0192,0.0376,0.0376,0.0667,0.0667,0.0774,0.037,0.037,0.037,,0.066,0.066
BHS,,,,0.0655,0.043,0.043,0.0471,0.0471,0.1059,0.11,0.11,0.122,0.122,0.061,0.064
BIH,,,,,,,,,,,0.191,0.275,0.29,0.29,0.302
BLR,,0.1546,0.1442,0.1615,,,,,0.1211,0.146,0.146,0.173,0.173,0.172,0.216
BLZ,,0.0389,0.0549,0.0549,0,0,0.0099,0.0099,0.048,0.048,0.048,0.032,0.032,0.032,0.075
BOL,0.0875,0.0875,0.145,0.145,0.1735,0.1732,0.3175,0.3175,0.235,0.415,0.415,0.408,0.408,0.357,0.352
BRA,0.061,0.0617,0.0625,0.0625,0.0488,0.0526,0.1344,0.144,0.1476,0.123,0.132,0.101,0.101,0.133,0.138
BRB,,,0.1295,0.1295,0.1037,0.1042,0.1226,0.1503,0.1501,0.15,0.15,0.15,0.166,0.222,0.278
BRN,,,0.0275,0.0275,0,0,0,0,0,0,0.021,0.031,0.031,0.031,0.031
BTN,,,,,,,,0.0509,0.0563,0.056,0.056,0.056,0.056,0.082,0.082
BWA,0.1287,0.1287,0.1338,0.1338,0.0597,0.0595,0.0353,0.0353,0.0679,0.068,0.068,0.079,0.079,0.079,0.084
CAN,0.1592,0.1592,0.1343,0.1383,0.1959,0.2095,0.1959,0.1959,0.2233,0.218,0.222,0.361,0.365,0.365,0.381
CHE,0.1535,0.1582,0.3273,0.3273,0.3352,0.3453,0.3525,0.361,0.3737,0.376,0.391,0.314,0.32,0.407,0.494
CHL,0.1087,0.116,0.2467,0.2566,0.2957,0.2958,0.1448,0.1448,0.2589,0.243,0.254,0.266,0.307,0.307,0.283
CHN,0.1107,0.1107,0.1408,0.1408,0.1495,0.1496,0.1496,0.1604,0.1506,0.162,0.162,0.16,0.164,0.154,0.118
CIV,,,,,0.0655,0.0656,0.0782,0.0758,0.0781,0.081,0.081,0.102,0.102,0.082,0.076
